36,The Lord of the Rings: Weapons and Warfare,4.53,eng,218,19822,Houghton Mifflin Harcourt,Children's,18
37,The Lord of the Rings: Complete Visual Companion,4.5,eng,224,359,Houghton Mifflin Harcourt,Fantasy,28
45,Agile Web Development with Rails: A Pragmatic Guide,3.84,eng,558,1430,Pragmatic Bookshelf,Biography,18
50,Hatchet (Brian's Saga  #1),3.72,eng,208,270244,Atheneum Books for Young Readers: Richard Jackson Books,Biography,32
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4,eng,48,36,Teacher Created Resources,Horror,42
53,Guts: The True Stories behind Hatchet and the Brian Books,3.88,eng,144,2067,Delacorte Press,Young Adult,46
54,Molly Hatchet - 5 of the Best,4.33,eng,56,6,Cherry Lane Music Company,Historical Fiction,32
55,Hatchet Jobs: Writings on Contemporary Fiction,3.45,en-US,228,99,The New Press,Dystopian,43
57,A Changeling for All Seasons (Changeling Seasons #1),3.76,eng,304,167,Changeling Press,Dystopian,12
58,Changeling (Changeling  #1),3.6,eng,256,978,Viking Juvenile,Science Fiction,16
59,The Changeling Sea,4.06,eng,137,4454,Firebird,Self-help,37
61,The Changeling,4.17,eng,228,1176,iUniverse,Thriller,15
63,The Changeling,3.55,eng,339,301,Shambhala,Science Fiction,36
66,The Changeling (Daughters of England  #15),3.98,eng,369,345,Ivy Books,Thriller,26
67,The Known World,3.83,eng,388,29686,Amistad,Young Adult,38
68,The Known World,3.83,en-US,14,55,HarperAudio,Mystery,12
69,The Known World,3.83,eng,576,22,Harper,Western,29
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,3.83,eng,334,1456,FT Press,Science Fiction,45
72,Artesia: Adventures in the Known World,4.13,eng,352,52,Archaia,Mystery,11
74,The John McPhee Reader (John McPhee Reader  #1),4.42,eng,416,562,Farrar  Straus and Giroux,Western,44
75,Uncommon Carriers,3.95,en-US,248,1630,Farrar Straus Giroux,Non-fiction,22
76,Heirs of General Practice,4.17,eng,128,268,Farrar  Straus and Giroux,Fantasy,14
77,The Control of Nature,4.24,en-US,288,3498,Farrar  Straus and Giroux,Romance,34
78,Annals of the Former World,4.34,eng,720,3115,Farrar  Straus and Giroux,Mystery,33
79,Coming Into the Country,4.22,eng,448,5704,Farrar  Straus and Giroux,Young Adult,29
80,La Place de la Concorde Suisse,3.92,fre,160,698,Farrar  Straus and Giroux,Thriller,39
81,Giving Good Weight,4.23,eng,288,542,Farrar  Straus and Giroux,Horror,30
83,Rising from the Plains,4.23,eng,208,1341,Farrar  Straus and Giroux,Children's,19
85,The Heidi Chronicles,3.75,eng,81,1423,Dramatists Play Service,Self-help,24
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,eng,249,2766,Vintage,Mystery,44
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3.94,eng,138,31,Routledge,Thriller,43
90,Simply Beautiful Beaded Jewelry,3.77,en-US,128,62,North Light Books,Science Fiction,24
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,eng,192,860,Chosen Books,Memoir,33
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.68,en-US,108,77,Association for Supervision & Curriculum Development,Mystery,13
93,Heidi (Heidi  #1-2),3.99,eng,352,153317,Kingfisher,Science Fiction,32
94,Getting Results with Curriculum Mapping,3.25,eng,192,55,ASCD,Romance,34
96,There's Always Enough: The Miraculous Move of God in Mozambique,4.46,eng,192,34,Sovereign World,Horror,28
98,What to Expect the First Year (What to Expect),3.89,eng,832,11797,Workman Publishing Company,Science Fiction,29
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,3.82,eng,123,34,One Hour Entertainment,Romance,47
100,Simply Beautiful Beading: 53 Quick and Easy Projects,3.78,en-US,128,78,North Light Books,Non-fiction,22
103,God Emperor of Dune (Dune Chronicles  #4),3.84,eng,423,2785,Ace Books,Mystery,20
105,Chapterhouse: Dune (Dune Chronicles #6),3.91,eng,436,38778,Ace Books,Historical Fiction,22
106,Dune Messiah (Dune Chronicles #2),3.88,eng,331,97494,Ace Books,Horror,13
107,Dreamer of Dune: The Biography of Frank Herbert,4.01,en-US,592,784,Tor Books,Horror,49
109,Heretics of Dune (Dune Chronicles  #5),3.86,eng,480,272,Putnam,Biography,13
110,The Road to Dune,3.88,eng,426,4789,Tor Science Fiction,Biography,34
117,Heretics of Dune (Dune Chronicles #5),3.86,eng,471,45388,Ace Books,Horror,24
119,The Lord of the Rings: The Art of the Fellowship of the Ring,4.59,eng,192,26153,Houghton Mifflin Harcourt,Mystery,14
122,The Power of One (The Power of One  #1),4.35,eng,544,69167,Ballantine Books,Historical Fiction,47
123,The Power of One (The Power of One  #1),4.35,eng,291,45,Delacorte Books for Young Readers,Non-fiction,18
129,The Power of One: One Person  One Rule  One Month,4.28,en-US,256,16,Thomas Nelson,Science Fiction,22
130,Power of an Hour: Business and Life Mastery in One Hour a Week,3.34,eng,205,174,Wiley,Romance,10
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,3.67,eng,240,10,Heinemann Drama,Mystery,48
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,3.48,eng,336,76,William Morrow Paperbacks,Dystopian,41
133,eBay for Dummies,3.5,eng,386,111,Wiley,Children's,25
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,3.62,eng,260,24,McGraw-Hill,Self-help,25
137,Starting an eBay Business for Dummies,3.55,eng,384,55,Wiley,Science Fiction,38
138,eBay: Top 100 Simplified Tips & Tricks,4.27,eng,260,9,Wiley,Children's,14
139,ebay Timesaving Techniques for Dummies,3.39,en-US,391,22,Wiley,Science Fiction,49
140,eBay Business All-in-One Desk Reference for Dummies,3.89,en-US,864,17,Wiley,Dystopian,20
141,Ruby Cookbook,3.84,eng,873,166,O'Reilly Media,Self-help,50
142,Ruby Ann's Down Home Trailer Park Cookbook,4.12,eng,240,50,Citadel,Young Adult,23
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,4.08,eng,206,13,Citadel,Romance,35
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,3.48,eng,514,64,O'Reilly Media,Fantasy,27
151,Anna Karenina,4.05,eng,838,16643,Penguin Classics,Historical Fiction,13
152,Anna Karenina,4.05,eng,960,109420,Signet,Western,31
153,Anna Karenina,4.05,eng,837,2904,Penguin Books,Horror,20
154,CliffsNotes on Tolstoy's Anna Karenina,3.85,eng,80,16,Cliffs Notes,Horror,34
155,Anna Karenina,4.05,eng,803,9564,Barnes & Noble Classics,Horror,37
156,Anna Karenina,4.05,eng,752,474,Dover Publications,Western,37
157,Anna Karenina,4.05,eng,803,303,Barnes & Noble,Romance,10
159,Dinner with Anna Karenina,2.99,eng,360,411,Mira Books,Horror,33
160,Tolstoy: Anna Karenina,4.19,eng,128,1204,Cambridge University Press,Non-fiction,15
162,Untouchable,3.71,eng,160,3429,Penguin Books,Dystopian,12
163,The Untouchable,3.95,eng,367,2163,Vintage,Mystery,41
164,The Untouchables,3.89,eng,256,613,Buccaneer Books,Historical Fiction,14
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,3.82,en-US,320,308,Scribner,Fantasy,30
166,Dalit: The Black Untaouchables of India,4.2,eng,100,10,Clarity Press,Biography,32
168,Growing Up Untouchable in India: A Dalit Autobiography,3.65,eng,224,16,Rowman & Littlefield Publishers,Dystopian,27
171,The Evidence-Based Social Work Skills Book,3.4,eng,216,10,Pearson,Western,50
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",4,eng,48,17,Teacher Created Resources,Memoir,50
180,Wrinkles in Time,4.01,eng,360,1035,Harper Perennial,Biography,22
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),4,eng,250,36,EMC/Paradigm Publishing,Memoir,14
182,Literature Circle Guide: A Wrinkle in Time,3.6,eng,32,15,Teaching Resources,Young Adult,41
201,Una arruga en el tiempo – A Wrinkle in Time,4,spa,205,6,Turtleback Books,Thriller,43
204,The Long Shadow (The Morland Dynasty  #6),4.12,eng,367,376,Little  Brown Book Group,Romance,21
205,A Long Shadow (Inspector Ian Rutledge  #8),4.11,eng,352,3086,William Morrow,Science Fiction,33
207,Long Way Round: Chasing Shadows Across the World,3.94,en-US,320,352,Atria Books,Memoir,34
208,A Shadow in Summer (Long Price Quartet  #1),3.6,eng,331,9852,Tor Books,Horror,32
213,New Hope for the Dead (Hoke Mosely #2),3.9,eng,244,821,Vintage Crime/Black Lizard,Western,23
214,Sideswipe: A Hoke Moseley Novel,4.05,eng,215,731,Vintage Crime/Black Lizard,Biography,19
216,Miami Blues (Hoke Moseley #1),3.94,eng,191,2897,Vintage Crime/Black Lizard,Thriller,34
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),3.89,eng,144,98,Vintage,Fantasy,49
231,I am Charlotte Simmons,3.42,eng,738,20888,Picador USA,Thriller,29
237,Poetry for Young People: Edward Lear,3.91,eng,48,66,Sterling,Romance,47
244,The Puffin Book of Nonsense Verse,4.02,eng,287,81,Puffin,Romance,10
245,Henry Miller on Writing,4.22,eng,217,981,New Directions Publishing,Western,13
247,Quiet Days in Clichy,3.69,eng,154,3381,Grove Press,Non-fiction,49
249,Tropic of Cancer,3.68,eng,318,53206,Grove Press,Fantasy,34
250,Tropic of Capricorn,3.78,eng,348,14872,Grove Press,Science Fiction,14
251,Nexus (The Rosy Crucifixion  #3),4.1,eng,316,3261,Grove Press,Mystery,50
252,Sexus (The Rosy Crucifixion  #1),3.98,eng,506,7805,Grove Press,Dystopian,30
253,The Air-Conditioned Nightmare,3.83,eng,292,2699,New Directions,Memoir,21
264,The Portrait of a Lady,3.78,eng,797,61640,Penguin Classics,Fantasy,31
269,The Portrait of a Lady,3.78,eng,635,392,Barnes  Noble Classics,Mystery,45
277,Writing,3.75,eng,91,778,Brookline Books,Biography,18
278,The War,3.85,eng,192,963,The New Press,Biography,40
280,The Ravishing of Lol Stein,3.66,en-US,181,2057,Pantheon,Non-fiction,27
285,Love Letters,3.68,eng,178,203,One World (UK),Romance,50
288,Kahlil Gibran: His Life and World,4.21,eng,464,35,Interlink Publishing Group,Biography,13
289,The Beloved: Reflections on the Path of the Heart,4.19,eng,102,328,Penguin Books,Horror,27
290,Jesus the Son of Man,3.98,eng,216,1308,Knopf,Thriller,38
291,The Broken Wings,3.92,eng,132,6432,Citadel,Thriller,37
292,Sand and Foam,4.08,eng,100,3015,Knopf,Non-fiction,40
295,Treasure Island,3.83,eng,311,318753,Kingfisher,Fantasy,33
296,Treasure Island,3.83,en-US,213,420,Sterling Children's Books,Self-help,13
297,Treasure Island,3.83,eng,245,5967,Simon & Schuster,Biography,32
298,Treasure Island,3.83,eng,64,104,Atheneum Books for Young Readers,Self-help,34
299,Treasure Island,3.83,en-US,272,56,Gramercy Books,Western,10
302,Treasure Island (Great Illustrated Classics),4.05,eng,232,91,Abdo Publishing Company,Young Adult,33
313,100 Years of Lynchings,4.61,eng,270,88,Black Classic Press,Biography,48
324,Cien años de soledad,4.07,spa,448,63,French & European,Self-help,45
330,On Beyond Zebra!,4.04,eng,64,2815,Random House Books for Young Readers,Science Fiction,12
332,The Wedding Clause,3.6,eng,256,95,Zebra,Science Fiction,31
333,The Zebra Wall,3.44,eng,147,217,Greenwillow Books,Science Fiction,39
337,El perfume: Historia de un asesino,4.02,spa,239,4136,Booket,Thriller,45
348,The Door Into Summer,4.01,eng,304,17232,Del Rey,Self-help,45
350,Stranger in a Strange Land,3.92,eng,528,251872,Ace,Non-fiction,18
354,To Sail Beyond the Sunset,3.87,en-US,434,10293,Ace Books,Biography,21
355,Job: A Comedy of Justice,3.78,en-US,439,15970,Del Rey,Historical Fiction,24
356,Time for the Stars (Heinlein's Juveniles  #10),3.97,eng,256,6898,Tor Books,Thriller,20
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),4.06,en-US,307,67803,Pocket Books,Children's,38
359,The Salmon of Doubt (Dirk Gently  #3),3.93,eng,298,22091,Del Rey,Self-help,36
362,Wish You Were Here: The Official Biography of Douglas Adams,4.14,eng,368,2623,Del Rey,Fantasy,31
367,Douglas Adams's Starship Titanic,3.6,eng,256,885,Ballantine Books,Historical Fiction,33
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,3.93,eng,336,5,Turtleback Books,Dystopian,19
382,The Phantom Tollbooth: A Children's Play in Two Acts,4.13,eng,72,100,Samuel French  Inc.,Dystopian,19
385,On Bullshit,3.57,eng,67,9358,Princeton University Press,Non-fiction,15
386,Another Bullshit Night in Suck City,3.78,eng,347,9318,W. W. Norton & Company,Self-help,47
394,Lincoln at Gettysburg: The Words That Remade America,4.14,en-US,317,120,Simon & Schuster,Western,19
397,The Gettysburg Address,4.53,eng,32,5239,HMH Books for Young Readers,Young Adult,19
399,Underworld,3.92,eng,827,1505,Scribner,Western,10
400,Libra,3.99,eng,480,11857,Penguin,Mystery,23
403,Americana,3.43,eng,377,393,Penguin Books,Young Adult,36
404,Running Dog,3.43,eng,256,1356,Vintage Contemporaries,Mystery,36
406,Cosmopolis,3.22,eng,224,460,Scribner,Horror,46
407,Great Jones Street,3.48,eng,272,2492,Penguin Books,Memoir,47
408,The Names,3.64,eng,339,3100,Vintage,Non-fiction,44
409,Against the Day,4.13,eng,1085,5296,Penguin Press,Mystery,16
410,V.,3.96,eng,547,1415,Harper Perennial Modern Classics,Memoir,24
411,The Crying of Lot 49,3.69,eng,152,2161,Harper Perennial,Thriller,41
412,Gravity's Rainbow,4.01,eng,784,762,Penguin Books,Biography,40
413,Mason & Dixon,4.07,eng,773,8086,Picador USA,Dystopian,50
414,Vineland,3.69,en-US,385,702,Penguin Classics,Non-fiction,28
415,Gravity's Rainbow,4.01,eng,776,29764,Penguin Books,Self-help,17
416,Slow Learner: Early Stories,3.5,eng,193,334,Back Bay Books,Mystery,37
418,Been Down So Long It Looks Like Up To Me,3.8,eng,352,2473,Penguin Classics,Historical Fiction,16
420,The Year of Magical Thinking,3.89,en-US,227,2656,Knopf Publishing Group,Science Fiction,28
421,The White Album,4.17,eng,222,11889,Farrar Straus Giroux,Science Fiction,17
422,A Book of Common Prayer,3.8,eng,272,2962,Vintage International,Western,29
423,Where I Was From,3.86,eng,240,2842,Vintage,Memoir,18
424,Slouching Towards Bethlehem,4.21,eng,238,26934,Farrar Straus Giroux,Science Fiction,16
425,Democracy,3.81,en-US,234,2070,Vintage International,Historical Fiction,18
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,4.5,eng,1122,1564,Everyman's Library,Non-fiction,47
428,Play It As It Lays,3.87,eng,231,23656,Farrar  Straus and Giroux,Mystery,28
431,The New York Trilogy,3.89,eng,308,43200,Penguin Classics,Memoir,20
432,City of Glass (The New York Trilogy  #1),3.79,eng,203,12410,Penguin Books,Romance,14
434,Ghosts (The New York Trilogy  #2),3.64,eng,96,3672,Penguin Books,Historical Fiction,30
435,The Locked Room (The New York Trilogy  #3),3.89,eng,179,2998,Sun and Moon Press,Fantasy,39
444,Pyramids of Montauk: Explorations in Consciousness,3.89,eng,256,74,Sky Books (NY),Mystery,46
446,The Brooklyn Follies,3.84,eng,306,17977,Picador,Young Adult,37
447,Moon Palace,3.94,eng,320,16099,Penguin Books,Fantasy,42
453,The Music of Chance,3.9,en-US,217,361,Penguin Books,Biography,20
454,Travels in the Scriptorium,3.23,eng,145,6688,Henry Holt & Company,Dystopian,19
456,Leviathan,3.96,eng,275,11744,Penguin Books,Mystery,41
463,The Red Notebook: True Stories,3.77,eng,104,2390,New Directions,Mystery,14
466,Timbuktu / Leviathan / Moon Palace,4.38,fre,1075,21,Actes Sud,Horror,25
475,Collapse: How Societies Choose to Fail or Succeed,3.93,eng,608,52522,Penguin Books Ltd. (London),Western,18
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,3.4,en-US,211,213,Business Plus,Biography,21
477,Collapse of Complex Societies,4.15,eng,262,719,Cambridge University Press,Science Fiction,20
478,Bowling Alone: The Collapse and Revival of American Community,3.8,eng,544,4762,Simon  Schuster,Science Fiction,29
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,3.91,eng,272,62,Ballantine Books,Dystopian,32
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,4.39,eng,576,278,W. W. Norton  Company,Horror,48
493,My Inventions,4.01,eng,88,2862,Filiquarian Publishing  LLC.,Young Adult,15
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,3.78,eng,542,2829,Citadel,Historical Fiction,16
497,Nikola Tesla: A Spark of Genius,3.93,eng,144,105,Lerner Publications,Mystery,27
498,Tesla Papers,4.13,eng,100,102,Adventures Unlimited Press,Mystery,42
511,Boys of Summer,3.77,eng,249,478,Harlequin Blaze,Science Fiction,29
515,Programming Ruby: The Pragmatic Programmers' Guide,4.03,en-US,828,1577,Pragmatic Bookshelf,Western,33
523,Golding's Lord of the Flies (Cliffs Notes),3.95,eng,112,73,Cliffs Notes,Thriller,44
524,Lord of the Flies,3.68,eng,6,408,Listening Library (Audio),Memoir,14
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,4.11,eng,397,1693,Random House,Fantasy,29
534,We Were Not Like Other People,4.14,eng,216,1,HarperCollins Publishers,Children's,44
537,The Lovely Bones,3.81,en-GB,328,6485,Picador,Non-fiction,26
538,The Lovely Bones,3.81,en-US,532,367,Large Print Press,Historical Fiction,22
539,Lovely in Her Bones (Elizabeth MacPherson  #2),3.8,eng,224,1371,Ballantine Books,Mystery,42
565,The Zen of CSS Design: Visual Enlightenment for the Web,3.98,en-US,296,793,Peachpit Press,Fantasy,26
570,HTML  XHTML  and CSS (Visual Quickstart Guide),3.8,en-US,456,549,Peachpit Press,Fantasy,14
576,1000 Record Covers,3.85,mul,575,288,Taschen,Biography,44
597,Killing Yourself to Live: 85% of a True Story,3.81,eng,245,26381,Scribner,Biography,14
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,3.73,eng,272,62089,Scribner,Self-help,50
619,Vice (V  #8),3.51,eng,419,474,Bantam,Non-fiction,38
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),3.77,eng,540,166046,HarperTorch,Mystery,43
639,Once Upon a Cool Motorcycle Dude,4.08,eng,32,1773,Walker & Company,Mystery,26
642,Guidebook to Zen and the Art of Motorcycle Maintenance,3.72,en-GB,408,286,William Morrow Paperbacks,Fantasy,38
643,Motorcycle Basics Techbook,3.85,eng,222,40,Haynes Manuals N. America  Inc.,Non-fiction,45
650,LOGO Lounge: 2 000 International Identities by Leading Designers,3.93,eng,191,27,Rockport Publishers,Children's,15
655,The Death of Ivan Ilych And Other Stories,4.11,eng,304,7300,Signet Classics,Memoir,18
656,War and Peace,4.11,eng,1392,211671,Oxford University Press,Thriller,29
658,The Kingdom of God Is Within You,4.13,eng,352,2403,Dover Publications,Mystery,45
662,Atlas Shrugged,3.69,eng,1168,322483,Plume,Self-help,32
663,For the New Intellectual: The Philosophy of Ayn Rand,3.68,eng,224,2750,Signet Book,Non-fiction,31
664,The Fountainhead,3.87,en-US,752,1886,Dutton,Self-help,16
665,The Virtue of Selfishness: A New Concept of Egoism,3.51,eng,176,11462,Signet,Fantasy,13
667,Anthem,3.63,eng,105,110952,NAL,Non-fiction,46
668,We the Living,3.91,eng,464,23199,Signet,Historical Fiction,38
669,Capitalism: The Unknown Ideal,3.88,eng,340,3501,Signet,Dystopian,49
670,Letters of Ayn Rand,3.96,eng,681,18,NAL,Dystopian,21
672,Sailing for Dummies,3.95,eng,416,150,For Dummies,Western,30
675,Sailing from Byzantium: How a Lost Empire Shaped the World,3.88,eng,368,646,Delacorte Press,Science Fiction,39
676,Sailing Alone Around the Room: New and Selected Poems,4.23,eng,192,12180,Random House Trade Paperbacks,Horror,17
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,3.62,eng,286,51,Lyons Press,Self-help,10
681,"Natural Cures ""They"" Don't Want You to Know about",3.09,en-US,571,1601,Alliance Publishing,Fantasy,14
685,The Natural,3.63,eng,231,8854,Farrar Straus Giroux,Young Adult,23
698,Digging to America,3.55,eng,277,17155,Alfred A. Knopf,Thriller,13
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,3.77,eng,826,44,Bedford Books,Horror,34
702,Modern Latin America,3.59,en-US,528,234,Oxford University Press  USA,Mystery,35
703,The Plot Against America,3.77,eng,391,33321,Vintage International,Children's,30
707,Naked Pictures of Famous People,3.59,en-GB,164,8703,Dey Street Books,Dystopian,18
759,Collected Stories,4.19,eng,352,6375,Harper Perennial Modern Classics,Dystopian,26
762,Crónica de una muerte anunciada,3.97,spa,118,7888,Vintage Espanol,Thriller,48
763,Cien años de soledad,4.07,spa,496,130,Plaza y Janes,Non-fiction,38
764,Del amor y otros demonios,3.98,spa,176,4508,Plaza y Janes,Memoir,40
765,Living to Tell the Tale,3.99,eng,533,397,Vintage,Dystopian,38
766,Memoria de mis putas tristes,3.6,spa,112,5856,Vintage Espanol,Fantasy,12
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,4.07,eng,425,32569,Vintage Books USA,Memoir,29
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,4.29,eng,288,37,Wisdom Publications,Dystopian,37
787,The Mini Rough Guide to London,3.75,eng,363,1,Rough Guides,Science Fiction,30
793,Best of London (Lonely Planet Best Of),3.83,eng,128,11,Lonely Planet,Fantasy,29
797,Lonely Planet Londres,4.03,spa,480,0,Geoplaneta,Horror,22
799,Out to Eat London 2002 (Lonely Planet Out to Eat),0,eng,295,0,Lonely Planet,Thriller,19
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,3.88,eng,287,6870,Mariner Books,Horror,28
816,Cryptonomicon,4.25,eng,1139,83184,Avon,Romance,29
821,Le Réseau Kinakuta (Cryptonomicon  #2),4.1,fre,418,5,Payot,Thriller,44
822,The Confusion (The Baroque Cycle  #2),4.26,en-US,815,19320,William Morrow Paperbacks,Historical Fiction,47
823,Quicksilver (The Baroque Cycle  #1),3.93,eng,927,30872,HarperCollins Perennial,Horror,14
824,The Cobweb,3.61,eng,448,2465,Spectra Books,Historical Fiction,37
826,The Big U,3.25,en-US,308,4657,William Morrow Paperbacks,Horror,45
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,4.19,eng,499,71042,Spectra,Non-fiction,23
828,Interface,3.68,eng,640,4731,Spectra,Thriller,32
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),4.2,en-US,464,1567,HarperTorch,Memoir,17
830,Snow Crash,4.03,eng,438,188100,Bantam Books,Historical Fiction,16
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,4.16,eng,450,1474,Two Plus Two Publishing LLC,Thriller,27
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,4.24,eng,381,1929,Two Plus Two Publishing LLC,Historical Fiction,26
840,The Design of Everyday Things,4.17,eng,240,18602,Basic Books,Fantasy,44
841,Emotional Design: Why We Love (or Hate) Everyday Things,3.95,eng,272,3702,Basic Books,Romance,26
842,The Psychology of Everyday Things,4.17,eng,257,265,Basic Books,Historical Fiction,44
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,4.27,en-GB,259,51,Ignatius Press,Biography,22
864,The Alchemist,3.86,eng,192,920,HarperOne,Biography,23
865,The Alchemist,3.86,eng,197,1631221,HarperCollins,Young Adult,48
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),4.57,eng,192,9013,VIZ Media LLC,Self-help,39
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),4.56,eng,192,16666,VIZ Media LLC,Fantasy,40
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),4.57,eng,192,11451,VIZ Media LLC,Young Adult,35
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),4.5,eng,192,111091,VIZ Media LLC,Young Adult,36
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),4.55,eng,200,10752,VIZ Media LLC,Thriller,50
872,The Illustrated Alchemist: A Fable about Following Your Dream,3.86,en-US,198,251,HarperCollins Publishers,Historical Fiction,33
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),4.52,eng,192,14923,VIZ Media LLC,Young Adult,26
880,Pompeii,3.82,eng,274,26922,Random House Trade Paperbacks,Dystopian,36
888,The Last Days of Pompeii,3.6,eng,360,1156,Borgo Press,Thriller,14
890,Of Mice and Men,3.87,eng,103,1755253,Penguin Books,Western,38
